province,city,year,month,price
上海,青浦,2014,08,19286
上海,青浦,2014,07,19647
上海,青浦,2014,06,19435
上海,青浦,2014,05,19890
上海,青浦,2014,04,19332
上海,青浦,2014,03,18507
上海,青浦,2014,02,18758
上海,青浦,2014,01,18747
上海,黄浦,2014,12,44625
上海,黄浦,2014,11,44430
上海,黄浦,2014,10,44796
上海,黄浦,2014,09,45217
上海,黄浦,2014,08,45520
上海,黄浦,2014,07,45408
上海,黄浦,2014,06,44657
上海,黄浦,2014,05,44479
上海,黄浦,2014,04,43675
上海,黄浦,2014,03,42938
上海,黄浦,2014,02,42933
上海,黄浦,2014,01,42899
上海,长宁,2014,12,39640
上海,长宁,2014,11,39437
上海,长宁,2014,10,39690
上海,长宁,2014,09,39466
上海,长宁,2014,08,39800
上海,长宁,2014,07,39764
上海,长宁,2014,06,39269
上海,长宁,2014,05,39339
上海,长宁,2014,04,38197
上海,长宁,2014,03,37777
上海,长宁,2014,02,37664
上海,长宁,2014,01,37416
上海,虹口,2014,12,36171
上海,虹口,2014,11,36013
上海,虹口,2014,10,35845
上海,虹口,2014,09,36650
上海,虹口,2014,08,36687
上海,虹口,2014,07,37197
上海,虹口,2014,06,36941
上海,虹口,2014,05,37001
上海,虹口,2014,04,35916
上海,虹口,2014,03,35553
上海,虹口,2014,02,34697
上海,虹口,2014,01,34208
上海,杨浦,2014,12,36149
上海,杨浦,2014,11,35636
上海,杨浦,2014,10,35294
上海,杨浦,2014,09,35058
上海,杨浦,2014,08,35483
上海,杨浦,2014,07,36179
上海,杨浦,2014,06,35663
上海,杨浦,2014,05,35862
上海,杨浦,2014,04,35615
上海,杨浦,2014,03,35088
上海,杨浦,2014,02,34753
上海,杨浦,2014,01,34779
上海,普陀,2014,12,31968
上海,普陀,2014,11,31848
上海,普陀,2014,10,31929
上海,普陀,2014,09,32017
上海,普陀,2014,08,32004
上海,普陀,2014,07,31864
上海,普陀,2014,06,31947
上海,普陀,2014,05,32349
上海,普陀,2014,04,32052
上海,普陀,2014,03,31864
上海,普陀,2014,02,31506
上海,普陀,2014,01,31214
上海,静安,2014,12,49023
上海,静安,2014,11,47848
上海,静安,2014,10,48262
上海,静安,2014,09,48685
上海,静安,2014,08,48029
上海,静安,2014,07,48018
上海,静安,2014,06,48007
上海,静安,2014,05,48247
上海,静安,2014,04,45958
上海,静安,2014,03,44994
上海,静安,2014,02,44817
上海,静安,2014,01,43996
上海,嘉定,2014,12,18358
上海,嘉定,2014,11,18785
上海,嘉定,2014,10,18692
上海,嘉定,2014,09,18833
上海,嘉定,2014,08,19524
上海,嘉定,2014,07,19789
上海,嘉定,2014,06,19618
上海,嘉定,2014,05,19571
上海,嘉定,2014,04,18830
上海,嘉定,2014,03,18713
上海,嘉定,2014,02,18768
上海,嘉定,2014,01,18782
上海,松江,2014,12,19402
上海,松江,2014,11,19302
上海,松江,2014,10,19225
上海,松江,2014,09,19178
上海,松江,2014,08,19039
上海,松江,2014,07,19061
上海,松江,2014,06,19116
上海,松江,2014,05,19262
上海,松江,2014,04,18936
上海,松江,2014,03,18822
上海,松江,2014,02,18712
上海,松江,2014,01,18474
上海,徐汇,2014,12,40279
上海,徐汇,2014,11,39729
上海,徐汇,2014,10,39592
上海,徐汇,2014,09,39650
上海,徐汇,2014,08,39314
上海,徐汇,2014,07,40280
上海,徐汇,2014,06,40408
上海,徐汇,2014,05,40447
上海,徐汇,2014,04,39576
上海,徐汇,2014,03,39226
上海,徐汇,2014,02,38923
上海,徐汇,2014,01,38473
上海,宝山,2014,12,23152
上海,宝山,2014,11,23134
上海,宝山,2014,10,23123
上海,宝山,2014,09,23026
上海,宝山,2014,08,22959
上海,宝山,2014,07,23224
上海,宝山,2014,06,23462
上海,宝山,2014,05,23525
上海,宝山,2014,04,23385
上海,宝山,2014,03,23081
上海,宝山,2014,02,22799
上海,宝山,2014,01,22606
上海,闵行,2014,12,27065
上海,闵行,2014,11,26959
上海,闵行,2014,10,27053
上海,闵行,2014,09,27296
上海,闵行,2014,08,27249
上海,闵行,2014,07,26971
上海,闵行,2014,06,27414
上海,闵行,2014,05,27388
上海,闵行,2014,04,27223
上海,闵行,2014,03,26934
上海,闵行,2014,02,26608
上海,闵行,2014,01,26354
上海,浦东,2014,12,30445
上海,浦东,2014,11,30518
上海,浦东,2014,10,30570
上海,浦东,2014,09,30591
上海,浦东,2014,08,30826
上海,浦东,2014,07,31069
上海,浦东,2014,06,31064
上海,浦东,2014,05,31184
上海,浦东,2014,04,30902
上海,浦东,2014,03,30635
上海,浦东,2014,02,30434
上海,浦东,2014,01,31003
上海,金山,2013,12,9572
上海,金山,2013,11,9738
上海,金山,2013,10,9639
上海,金山,2013,09,9718
上海,金山,2013,08,9429
上海,金山,2013,07,9283
上海,金山,2013,06,9173
上海,金山,2013,05,9216
上海,金山,2013,04,9388
上海,金山,2013,03,9568
上海,金山,2013,02,9446
上海,金山,2013,01,9331
上海,奉贤,2013,12,13571
上海,奉贤,2013,11,13804
上海,奉贤,2013,10,13893
上海,奉贤,2013,09,14466
上海,奉贤,2013,08,13338
上海,奉贤,2013,07,12879
上海,奉贤,2013,06,12121
上海,奉贤,2013,05,12790
上海,奉贤,2013,04,13319
上海,奉贤,2013,03,13349
上海,奉贤,2013,02,13045
上海,奉贤,2013,01,13418
上海,青浦,2013,12,18689
上海,青浦,2013,11,18849
上海,青浦,2013,10,18411
上海,青浦,2013,09,17793
上海,青浦,2013,08,17830
上海,青浦,2013,07,18261
上海,青浦,2013,06,18748
上海,青浦,2013,05,18909
上海,青浦,2013,04,18784
上海,青浦,2013,03,18375
上海,青浦,2013,02,17088
上海,青浦,2013,01,15857
上海,黄浦,2013,12,42709
上海,黄浦,2013,11,42546
上海,黄浦,2013,10,42123
上海,黄浦,2013,09,41893
